Last raw reading: 657	Time since start: 2265030microseconds
Last raw reading: 636	Time since start: 2270030microseconds
Last raw reading: 638	Time since start: 2275030microseconds
Last raw reading: 627	Time since start: 2280030microseconds
Last raw reading: 618	Time since start: 2285030microseconds
Last raw reading: 576	Time since start: 2290030microseconds
Last raw reading: 593	Time since start: 2295030microseconds
Last raw reading: 548	Time since start: 2300030microseconds
Last raw reading: 561	Time since start: 2305030microseconds
Last raw reading: 556	Time since start: 2310030microseconds
Last raw reading: 502	Time since start: 2315030microseconds
Last raw reading: 554	Time since start: 2320030microseconds
Last raw reading: 534	Time since start: 2325030microseconds
Last raw reading: 504	Time since start: 2330030microseconds
Last raw reading: 507	Time since start: 2335030microseconds
Last raw reading: 481	Time since start: 2340030microseconds
Last raw reading: 482	Time since start: 2345030microseconds
Last raw reading: 512	Time since start: 2350030microseconds
Last raw reading: 476	Time since start: 2355030microseconds
Last raw reading: 466	Time since start: 2360030microseconds
Last raw reading: 433	Time since start: 2365030microseconds
Last raw reading: 440	Time since start: 2370030microseconds
Last raw reading: 452	Time since start: 2375030microseconds
Last raw reading: 435	Time since start: 2380031microseconds
Last raw reading: 436	Time since start: 2385030microseconds
Last raw reading: 446	Time since start: 2390031microseconds
Last raw reading: 207	Time since start: 2395031microseconds
Last raw reading: 173	Time since start: 2400031microseconds
Last raw reading: 459	Time since start: 2405031microseconds
Last raw reading: 519	Time since start: 2410031microseconds
Last raw reading: 444	Time since start: 2415031microseconds
Last raw reading: 220	Time since start: 2420031microseconds
Last raw reading: 120	Time since start: 2425031microseconds
Last raw reading: 264	Time since start: 2430031microseconds
Last raw reading: 318	Time since start: 2435031microseconds
Last raw reading: 571	Time since start: 2440031microseconds
Last raw reading: 500	Time since start: 2445031microseconds
Last raw reading: 503	Time since start: 2450031microseconds
Last raw reading: 520	Time since start: 2455031microseconds
Last raw reading: 258	Time since start: 2460031microseconds
Last raw reading: 184	Time since start: 2465031microseconds
Last raw reading: 211	Time since start: 2470031microseconds
Last raw reading: 62	Time since start: 2475031microseconds
Last raw reading: 395	Time since start: 2480031microseconds
Last raw reading: 765	Time since start: 2485031microseconds
Last raw reading: 360	Time since start: 2490031microseconds
Last raw reading: 117	Time since start: 2495031microseconds
Last raw reading: 266	Time since start: 2500031microseconds
Last raw reading: 675	Time since start: 2505031microseconds
Last raw reading: 706	Time since start: 2510031microseconds
Last raw reading: 307	Time since start: 2515031microseconds
Last raw reading: 90	Time since start: 2520031microseconds
Last raw reading: 30	Time since start: 2525031microseconds
Last raw reading: 453	Time since start: 2530031microseconds
Last raw reading: 867	Time since start: 2535031microseconds
Last raw reading: 552	Time since start: 2540031microseconds
Last raw reading: 400	Time since start: 2545031microseconds
Last raw reading: 113	Time since start: 2550032microseconds
Last raw reading: 47	Time since start: 2555032microseconds
Last raw reading: 680	Time since start: 2560032microseconds
Last raw reading: 437	Time since start: 2565032microseconds
Last raw reading: 123	Time since start: 2570032microseconds
Last raw reading: 39	Time since start: 2575032microseconds
Last raw reading: 59	Time since start: 2580032microseconds
Last raw reading: 721	Time since start: 2585032microseconds
Last raw reading: 861	Time since start: 2590032microseconds
Last raw reading: 284	Time since start: 2595032microseconds
Last raw reading: 234	Time since start: 2600032microseconds
Last raw reading: 316	Time since start: 2605032microseconds
Last raw reading: 547	Time since start: 2610032microseconds
Last raw reading: 780	Time since start: 2615032microseconds
Last raw reading: 295	Time since start: 2620032microseconds
Last raw reading: 118	Time since start: 2625032microseconds
Last raw reading: 86	Time since start: 2630032microseconds
Last raw reading: 196	Time since start: 2635032microseconds
Last raw reading: 135	Time since start: 2640032microseconds
Last raw reading: 41	Time since start: 2645032microseconds
Last raw reading: 26	Time since start: 2650032microseconds
Last raw reading: 520	Time since start: 2655032microseconds
Last raw reading: 192	Time since start: 2660032microseconds
Last raw reading: 57	Time since start: 2665032microseconds
Last raw reading: 231	Time since start: 2670032microseconds
Last raw reading: 236	Time since start: 2675032microseconds
Last raw reading: 445	Time since start: 2680032microseconds
Last raw reading: 127	Time since start: 2685032microseconds
Last raw reading: 39	Time since start: 2690032microseconds
Last raw reading: 16	Time since start: 2695032microseconds
